iter	Passed	Remaining
0	164	164240
1	165	82439
2	166	55446
3	168	42013
4	169	33783
5	170	28253
6	172	24403
7	173	21461
8	174	19199
9	175	17326
10	175	15807
11	177	14575
12	177	13506
13	178	12573
14	179	11773
15	180	11078
16	181	10470
17	181	9922
18	182	9441
19	183	8997
20	184	8598
21	185	8230
22	185	7891
23	186	7583
24	187	7300
25	187	7041
26	188	6799
27	189	6577
28	190	6374
29	191	6180
30	192	6015
31	193	5842
32	193	5682
33	194	5535
34	195	5402
35	196	5266
36	197	5138
37	198	5018
38	198	4903
39	199	4793
40	200	4688
41	201	4587
42	201	4491
43	202	4400
44	203	4312
45	203	4228
46	204	4147
47	205	4069
48	206	3998
49	206	3927
50	207	3858
51	208	3794
52	208	3732
53	209	3676
54	210	3621
55	211	3564
56	212	3512
57	212	3458
58	213	3406
59	214	3358
60	214	3309
61	215	3262
62	216	3217
63	216	3172
64	217	3128
65	218	3087
66	218	3048
67	219	3008
68	220	2969
69	220	2933
70	222	2904
71	222	2870
72	223	2841
73	224	2809
74	225	2776
75	225	2744
76	226	2712
77	226	2682
78	227	2653
79	228	2627
80	229	2600
81	229	2573
82	230	2544
83	231	2519
84	231	2494
85	232	2470
86	233	2446
87	233	2422
88	234	2398
89	234	2376
90	235	2353
91	236	2332
92	237	2314
93	238	2295
94	238	2276
95	239	2256
96	240	2236
97	240	2217
98	241	2198
99	242	2180
100	242	2161
101	243	2143
102	244	2126
103	244	2108
104	245	2090
105	245	2073
106	246	2056
107	246	2039
108	247	2023
109	248	2007
110	248	1991
111	249	1975
112	249	1960
113	250	1946
114	251	1933
115	252	1922
116	252	1907
117	253	1895
118	254	1882
119	254	1869
120	255	1855
121	255	1842
122	256	1829
123	257	1817
124	257	1805
125	258	1792
126	259	1780
127	259	1768
128	260	1757
129	260	1745
130	261	1734
131	262	1723
132	262	1712
133	263	1701
134	263	1690
135	264	1680
136	265	1670
137	266	1662
138	267	1653
139	267	1644
140	268	1635
141	268	1623
142	269	1613
143	269	1603
144	270	1594
145	271	1585
146	271	1576
147	272	1567
148	272	1558
149	273	1549
150	274	1540
151	274	1532
152	275	1525
153	276	1517
154	276	1509
155	277	1501
156	278	1493
157	279	1486
158	279	1479
159	280	1474
160	281	1466
161	281	1458
162	282	1450
163	283	1443
164	283	1435
165	284	1429
166	285	1421
167	285	1414
168	286	1407
169	286	1399
170	287	1393
171	287	1386
172	288	1379
173	289	1372
174	289	1365
175	290	1359
176	290	1352
177	291	1345
178	292	1339
179	292	1333
180	293	1326
181	294	1321
182	295	1317
183	295	1312
184	296	1306
185	297	1300
186	297	1294
187	298	1288
188	298	1282
189	299	1277
190	300	1271
191	300	1265
192	301	1260
193	302	1255
194	302	1249
195	303	1244
196	303	1238
197	304	1232
198	304	1227
199	305	1222
